domain	bias_rating	category	mbfc_ideo
swminnesotatoday.com	right-center	fake-news	1.0
swmissnews.com	right-center	fake-news	1.0
swnewhampshirenews.com	right-center	fake-news	1.0
swnewmexiconews.com	right-center	fake-news	1.0
swriversidenews.com	right-center	fake-news	1.0
swvalleytimes.com	right-center	fake-news	1.0
swvegasnews.com	right-center	fake-news	1.0
syrianews.cc	left	fake-news	-1.0
syriana-analysis.com	left	fake-news	-1.0
takimag.com	extreme right	fake-news	1.0
tallahasseesun.com	right-center	fake-news	1.0
tamparepublic.com	right-center	fake-news	1.0
tasnimnews.com/en	right	fake-news	1.0
tbdailynews.com	right	fake-news	1.0
