domain	fake_sum
newsammo.com	1.0
pollhype.com	1.0
echocheck.org	1.0
thegoldandoilguy.com/articles	1.0
ihypocrite.net	1.0
palmerreport.com	1.0
rudaw.net/english	1.0
greatlakeswire.com	1.0
sussexreview.com	1.0
swbluegrassnews.com	1.0
returntonow.net	1.0
liveaction.org	1.0
conservative7.com	1.0
sacramentostandard.com	1.0
amren.com	2.0
en.mehrnews.com	1.0
michiganindependent.com	1.0
tomwoods.com	1.0
itemfix.com	1.0
frankspeech.com	1.0
randpaul.news	1.0
sevegasnews.com	1.0
usapoliticsnow.com	3.0
facebook.com/conservativepoliticstoday	1.0
sydneybulletin.com	1.0
nckansasnews.com	1.0
seatlantanews.com	1.0
breakingnewsblast.com	1.0
oxfordreporter.com	1.0
trumptrainnews.com	1.0
shoalstoday.com	1.0
educate-yourself.org	2.0
bostontribune.com	3.0
globalskywatch.com	1.0
thelibertybeacon.com	2.0
althealthworks.com	1.0
christiananswers.net	1.0
peachtreegazette.com	1.0
president45donaldtrump.com	3.0
newsbreak.com	1.0
fdahealthnews.com	1.0
theavocadonews.com	1.0
londonwebnews.com	2.0
fr.sputniknews.com	1.0
northkentnews.com	1.0
positivedaily.com	1.0
northcrane.com	1.0
healthnutnews.com	2.0
thephaser.com	1.0
capstonereport.com	1.0
passaictoday.com	1.0
mercola.com	1.0
treasurecoastsun.com	1.0
snoopack.com	1.0
krbcnews.com	2.0
viralliberty.com	2.0
proamericanews.com	2.0
nrlc.org	1.0
wisconsinlaketimes.com	1.0
breakpoint.org	1.0
ifyouonlynews.com	1.0
now8news.com	4.0
naturecoasttimes.com	1.0
herbreference.com	1.0
commondreams.org	1.0
breitbart.com	2.0
c19rmd.com	1.0
waynedupree.com	1.0
defiantamerica.com	1.0
defenseusa.club	1.0
jihadwatch.org	1.0
nwnewmexiconews.com	1.0
thebl.com	1.0
philosophers-stone.info	1.0
theepochtimes.com	1.0
cnsnews.com	2.0
conspiracyplanet.com	1.0
rodong.rep.kp/en	1.0
prntly.com	4.0
thenewamerican.com	1.0
northcountryreporter.com	1.0
sjlendman.blogspot.com	1.0
theamericanmirror.com	1.0
altleft.news	1.0
fabiosa.com	1.0
wrpm33.com	1.0
redorbit.com	1.0
kmt11.com	3.0
expose-news.com	1.0
blackpigeonspeaks.com	1.0
northsgvnews.com	1.0
sloreporter.com	1.0
postcard.news	1.0
northcooknews.com	1.0
tamparepublic.com	1.0
cnewsgo.com	1.0
coachellatoday.com	1.0
ufoholic.com	1.0
stanislausnews.com	1.0
anews24.org	2.0
aurora-news.us	2.0
libertynews.com	2.0
yournewswire.com	2.0
mcleancountytimes.com	1.0
banned.video	1.0
c19curcumin.com	1.0
childrenshealthdefense.org/defender	1.0
nomorefakenews.com	2.0
ntd.com	1.0
abovetopsecret.com	2.0
sickchirpse.com	1.0
nenewyorktoday.com	1.0
vancouverinquirer.com	1.0
blackinusrancenews.com	1.0
southnewcastlenews.com	1.0
informationclearinghouse.info	2.0
southmianews.com	1.0
americannewsx.com	1.0
bannedbook.org	1.0
nationalfile.com	1.0
12minutos.com	1.0
channel33news.com	1.0
santafestandard.com	1.0
msbusinessdaily.com	1.0
europereloaded.com	1.0
aapsonline.org	1.0
jonesborotimes.com	1.0
davidharrisjr.com	1.0
themichiganstar.com	1.0
bossip.com	1.0
rsbnetwork.com	1.0
expose1933.com	1.0
allianceforadvancedhealth.com	1.0
liveactionnews.org	1.0
occupyliberals.com	1.0
thejeffreylord.com	1.0
defendingtherepublic.org	1.0
naturalstatenews.com	1.0
christiantoday.info	1.0
maconreporter.com	1.0
conservativeview.info	1.0
